Timestamp,CPU (%),Memory (%),Disk (%)
2024-12-14 00:51:11.779531,1.8,56.2,96.6
2024-12-14 00:51:22.385311,1.0,55.7,96.6
2024-12-14 00:51:31.302756,7.8,55.9,96.6
2024-12-14 00:51:40.167818,16.7,55.8,96.6
2024-12-14 00:51:49.066162,4.3,56.4,96.6
2024-12-14 00:51:58.896174,3.3,56.6,96.6
2024-12-14 00:52:07.831315,10.1,56.7,96.6
2024-12-14 00:52:16.781078,9.7,56.6,96.6
2024-12-14 00:52:25.669287,2.7,56.6,96.6
2024-12-14 00:52:34.546187,9.8,55.8,96.6
2024-12-14 00:52:44.281058,12.8,56.0,96.6
2024-12-14 00:52:53.307221,6.4,56.1,96.6
2024-12-14 00:53:02.198569,9.3,56.2,96.6
2024-12-14 00:53:11.059057,13.2,55.8,96.6
2024-12-14 00:53:20.006171,7.4,55.7,96.6
2024-12-14 00:53:28.999806,3.5,56.0,96.6
2024-12-14 00:53:37.957460,2.9,56.0,96.6
2024-12-14 00:53:46.824675,8.4,56.8,96.6
2024-12-14 00:53:55.903449,0.0,56.5,96.6
2024-12-14 00:54:04.760514,2.3,56.7,96.6
2024-12-14 00:54:13.689727,7.6,56.5,96.6
2024-12-14 00:54:22.589299,1.6,56.4,96.6
2024-12-14 00:54:31.476719,2.3,56.6,96.6
2024-12-14 00:54:40.316575,2.1,56.3,96.6
2024-12-14 00:54:49.990443,2.6,56.6,96.6
2024-12-14 00:54:58.873387,4.1,56.7,96.6
2024-12-14 00:55:07.789026,2.1,56.6,96.6
2024-12-14 00:55:16.635751,13.2,56.8,96.6
2024-12-14 00:55:25.538457,30.9,56.4,96.6
2024-12-14 00:55:34.506426,27.1,56.6,96.6
2024-12-14 00:55:43.427104,1.6,56.5,96.6
2024-12-14 00:55:52.415812,5.7,56.5,96.6
2024-12-14 00:56:01.356445,12.1,56.3,96.6
2024-12-14 00:56:11.075365,11.1,56.5,96.6
2024-12-14 00:56:19.971070,8.9,56.8,96.6
2024-12-14 00:56:28.896927,28.0,56.9,96.6
2024-12-14 00:56:37.772084,2.3,56.8,96.6
2024-12-14 00:56:47.611732,0.8,56.8,96.6
2024-12-14 00:56:56.562159,20.8,56.8,96.6
2024-12-14 00:57:05.654211,17.6,57.0,96.6
2024-12-14 00:57:14.566365,3.9,57.2,96.6
2024-12-14 00:57:23.491769,5.4,57.3,96.6
2024-12-14 00:57:32.320008,1.0,56.8,96.6
2024-12-14 00:57:42.172979,5.6,56.9,96.6
2024-12-14 00:57:51.290963,1.0,57.1,96.6
2024-12-14 00:58:00.125105,31.1,55.6,96.6
2024-12-14 00:58:09.035047,3.3,55.9,96.6
2024-12-14 00:58:18.734877,2.3,55.8,96.6
2024-12-14 00:58:27.636329,0.8,55.4,96.6
2024-12-14 00:58:36.477792,6.0,55.2,96.6
2024-12-14 00:58:45.373449,8.6,55.2,96.6
2024-12-14 00:58:54.325136,3.7,55.7,96.6
2024-12-14 00:59:03.995052,1.9,55.6,96.6
2024-12-14 00:59:12.933689,4.5,55.9,96.6
2024-12-14 00:59:21.815444,5.3,55.3,96.6
2024-12-14 00:59:30.765272,8.9,55.2,96.6
2024-12-14 00:59:40.426772,3.0,55.4,96.6
2024-12-14 00:59:49.444043,3.3,55.8,96.6
2024-12-14 00:59:58.304569,1.2,55.8,96.6
2024-12-14 01:00:07.242120,4.9,55.8,96.6
2024-12-14 01:00:16.161290,3.1,56.0,96.6
2024-12-14 01:00:24.975986,4.9,55.5,96.6
2024-12-14 01:00:33.854318,0.6,55.5,96.6
2024-12-14 01:00:42.883105,6.6,55.6,96.6
2024-12-14 01:00:51.805159,8.6,56.5,96.6
2024-12-14 01:01:00.677962,5.1,56.2,96.6
